"ID_STAZ";"DESC_STAZ";"ALTIT";"X_LON";"Y_LAT";"COMUNE_CODISTAT";"COMUNE_NOME";"PROVINCIA_IDPROVINCIAISTAT";"PROVINCIA_SIGLAPROVINCIA"
"762";"Acate";"60";"14.4008331";"36.9744453";"088001";"ACATE";"088";"RG"
"1383";"Agira";"467";"14.5022000";"37.6319000";"086001";"AGIRA";"086";"EN"
"683";"Agrigento Scibica";"225";"13.5491667";"37.3408318";"084001";"AGRIGENTO";"084";"AG"
"684";"Agrigento Mandrascava";"40";"13.6358000";"37.2377777";"084001";"AGRIGENTO";"084";"AG"
"717";"Aidone";"350";"14.4669000";"37.4506000";"086002";"AIDONE";"086";"EN"
"740";"Alia";"560";"13.7453000";"37.7433319";"082001";"ALIA";"082";"PA"
"1384";"Antillo";"796";"15.2608000";"37.9783000";"083004";"ANTILLO";"083";"ME"
"685";"Aragona";"305";"13.6241665";"37.4588890";"084003";"ARAGONA";"084";"AG"
"763";"Augusta";"60";"15.1499996";"37.2830544";"089001";"AUGUSTA";"089";"SR"
"686";"Bivona";"350";"13.4152775";"37.5955544";"084004";"BIVONA";"084";"AG"
"705";"Bronte";"424";"14.7861000";"37.7541656";"087009";"BRONTE";"087";"CT"
"698";"Butera";"54";"14.1136000";"37.1350000";"085003";"BUTERA";"085";"CL"
"1385";"Calascibetta";"650";"14.2272000";"37.6708000";"086005";"CALASCIBETTA";"086";"EN"
"772";"Calatafimi";"310";"12.8808336";"37.8556000";"081003";"CALATAFIMI-SEGESTA";"081";"TP"
"716";"Caltagirone";"480";"14.5924997";"37.2380562";"087011";"CALTAGIRONE";"087";"CT"
"695";"Caltanissetta";"350";"14.0502777";"37.4288902";"085004";"CALTANISSETTA";"085";"CL"
"687";"Cammarata";"350";"13.7363892";"37.6322212";"084009";"CAMMARATA";"084";"AG"
"742";"Camporeale";"460";"13.1011114";"37.9047241";"082019";"CAMPOREALE";"082";"PA"
"689";"Canicatti";"475";"13.7733335";"37.3583336";"084011";"CANICATTÌ";"084";"AG"
"723";"Caronia Buzza";"50";"14.4897223";"38.0288887";"083011";"CARONIA";"083";"ME"
"724";"Caronia Pomiere";"1470";"14.4866667";"37.8961000";"083011";"CARONIA";"083";"ME"
"743";"Castelbuono";"430";"14.0897000";"37.9741669";"082022";"CASTELBUONO";"082";"PA"
"773";"Castellammare del Golfo";"95";"12.8897219";"38.0138893";"081005";"CASTELLAMMARE DEL GOLFO";"081";"TP"
"774";"Castelvetrano";"120";"12.8530560";"37.6472000";"081006";"CASTELVETRANO";"081";"TP"
"706";"Catania";"10";"15.0688887";"37.4433327";"087015";"CATANIA";"087";"CT"
"725";"Cesaro Vignazza";"857";"14.6797000";"37.8386116";"083017";"CESARÒ";"083";"ME"
"726";"Cesaro Monte Soro";"1840";"14.6944447";"37.9325000";"083017";"CESARÒ";"083";"ME"
"757";"Comiso";"220";"14.5941668";"37.0136108";"088003";"COMISO";"088";"RG"
"744";"Contessa Entellina";"200";"13.0433000";"37.7305565";"082033";"CONTESSA ENTELLINA";"082";"PA"
"745";"Corleone";"422";"13.2508335";"37.8041649";"082034";"CORLEONE";"082";"PA"
